,lat,lon,postcode,city,state,village,first_postcode_part,second_postcode_part
0,49.28657064156668,-1.9589068955719509,0,0,0,0,0,0
1,49.39264991558483,-2.0035814989699534,0,0,0,0,0,0
2,49.54575991306058,-2.4203884646992315,0,0,0,0,0,0
3,50.924787491583174,0.3939586783679502,TN33 9PG,Rother,England,Penhurst,TN,33
4,50.78961125106168,-1.16889423465078,PO13 9BG,0,England,0,PO,13
5,50.97959062030901,0.013442447612103912,BN8 4QS,Wealden,England,0,BN,8
6,51.00577121581623,0.18309093311301444,TN22 4EH,Wealden,England,Hadlow Down,TN,22
7,51.03171874986808,0.3529750782942209,TN5 7EL,Rother,England,Stonegate,TN,5
8,51.057418333170716,0.5229992772923286,TN18 5AU,Tunbridge Wells,England,Hawkhurst,TN,18
9,51.08288373655098,0.693256512718278,TN30 6ER,0,England,St Michaels,TN,30
10,51.10810034483312,0.8636509452678908,TN26 1NE,0,England,Kingsnorth,TN,26
11,51.133081667546385,1.0342757366309745,TN25 6AZ,Folkestone and Hythe,England,Stowting,TN,25
12,50.189738437276716,-5.0348276099378015,TR2 5JQ,0,England,0,TR,2
13,50.44917672273306,-3.718475055297104,TQ9 6JR,South Hams,England,Dartington,TQ,9
14,50.48058863006279,-3.552918239548592,TQ2 7DG,0,England,0,TQ,2
15,50.78196680844984,-1.8858967559917081,BH22 8UA,0,England,Dudsbury,BH,22
16,50.979019661730355,-0.7066461232446212,GU29 0BU,Chichester,England,Easebourne,GU,29
17,51.006217062874924,-0.5374120921465153,RH14 0EP,Chichester,England,Wisborough Green,RH,14
18,51.03318325458965,-0.3679357881403967,RH13 0PF,0,England,Barns Green,RH,13
19,51.059902766203344,-0.19831254441606025,RH17 6HF,Mid Sussex,England,Handcross,RH,17
20,51.086389918140576,-0.02844955474592068,RH19 4HS,Wealden,England,0,RH,19
21,51.11262951182871,0.1415576060813373,TN7 4DA,Wealden,England,Withyham,TN,7
22,51.13863560778777,0.3118019303336115,TN2 4QU,Tunbridge Wells,England,Pembury,TN,2
23,51.16439328082964,0.4821876047377869,TN12 9NN,Tunbridge Wells,England,0,TN,12
24,51.189916330625636,0.6528078047573291,0,0,England,0,0,0
25,51.2151901066432,0.8235664818256966,TN27 0EY,0,England,0,TN,27
26,51.240228146774825,0.9945569917145712,CT4 7DD,Canterbury,England,Shalmsford Street,CT,4
27,51.26501607639897,1.1656830538303804,0,Canterbury,England,Littlebourne,0,0
28,51.28956039426546,1.3369906436378765,CT13 9FR,0,England,0,CT,13
29,51.31386733224772,1.5085259249158818,0,0,England,0,0,0
30,50.227295696429536,-5.414502266144377,0,0,England,0,0,0
31,50.26103902266411,-5.250854834653666,TR16 4QE,0,England,0,TR,16
32,50.294549354193656,-5.08702484686551,TR4 9DW,0,England,Shortlanesend,TR,4
33,50.32784470202542,-4.922922315020578,TR2 4EL,0,England,Grampound Road,TR,2
34,50.52284721342882,-3.9337291467235778,0,West Devon,England,0,0,0
35,50.5545475800433,-3.768110113223384,TQ13 7HX,Teignbridge,England,0,TQ,13
36,50.586027854227,-3.602225963156904,TQ13 0,Teignbridge,England,0,0,0
37,50.617270005525896,-3.436169779541253,EX6 8SG,Teignbridge,England,Cockwood,EX,6
38,50.79989976545457,-2.43517562541732,DT2 7SJ,0,England,0,DT,2
39,50.82952057909387,-2.2676237904482446,DT11 0DH,0,England,Winterborne Stickland,DT,11
40,50.858915718967744,-2.099816285836841,DT11 8SH,0,England,Tarrant Rushton,DT,11
41,50.88806833411951,-1.9318473874313649,BH21 8NG,0,England,Woodlands,BH,21
42,50.91699406203158,-1.7636250758861511,SP6 2HW,New Forest,England,Frogham,SP,6
43,50.94567631768013,-1.595243885044327,SO43 7JJ,New Forest,England,0,SO,43
44,50.974130483124206,-1.4266115946082518,SO52 9LY,Test Valley,England,North Baddesley,SO,52
45,51.00234024063618,-1.2578229936722505,SO21 1JN,Winchester,England,Owslebury,SO,21
46,51.030320715834954,-1.0887856636245026,SO24 0LJ,Winchester,England,Bramdean,SO,24
47,51.0580558596398,-0.9195946459893864,GU33 6NJ,East Hampshire,England,West Liss,GU,33
48,51.08556054022593,-0.7501573265231739,GU27 3QQ,Chichester,England,Hammer,GU,27
49,51.11281897849701,-0.580568996282536,GU8 4XY,Waverley,England,Dunsfold,GU,8
50,51.139845784193774,-0.41073684811959904,GU6 7SQ,Mole Valley,England,0,GU,6
51,51.16662544952845,-0.24075641964745806,RH6 0EP,Mole Valley,England,0,RH,6
52,51.193172324829845,-0.07053471358719092,RH6 9LD,0,England,Blindley Heath,RH,6
53,51.21947117492872,0.09983248894470148,TN8 6RN,0,England,0,TN,8
54,51.24553608977821,0.2704383725415512,TN11 9PE,Tonbridge and Malling,England,Shipbourne,TN,11
55,51.27135210812318,0.4411869157138321,ME19 6JF,Tonbridge and Malling,England,East Malling,ME,19
56,51.29693305859108,0.612171487507725,ME14 3LR,0,England,Thurnham,ME,14
57,51.32226425512126,0.7832958292685445,ME9 9NX,Swale,England,Bapchild,ME,9
58,51.34735926407972,0.9546534915907656,CT5 4BP,Canterbury,England,Seasalter,CT,5
59,51.372203675865244,1.1261479819387223,CT6 5JH,Canterbury,England,0,CT,6
60,51.39680400173832,1.2978253690256796,CT7 9QR,Thanet,England,Minnis Bay,CT,7
61,51.421166485573686,1.4697319112431697,0,Thanet,England,0,0,0
62,50.39933861340335,-5.139453454966106,TR8 5SE,0,England,0,TR,8
63,50.43270548969226,-4.975035129824848,TR8 4JH,0,England,0,TR,8
